NumPoints,Locations,Velocities
3,"[520.0, 900.0, 1280.0]","[8.22968427988, 7.45409277327, 7.981154410299999]"
9,"[0.0, 210.0, 520.0, 660.0, 900.0, 1110.0, 1280.0, 1560.0, 1780.0]","[8.13399599767, 8.818620467839999, 8.22968427988, 7.763215159139999, 7.45409277327, 8.19894177896, 7.981154410299999, 7.73440631511, 7.761030201510001]"
19,"[0.0, 100.0, 200.0, 300.0, 400.0, 520.0, 600.0, 690.0, 790.0, 900.0, 990.0, 1100.0, 1190.0, 1280.0, 1380.0, 1480.0, 1580.0, 1680.0, 1780.0]","[8.13399599767, 8.46903460802, 8.78906124203, 8.58859671203, 8.33205932964, 8.22968427988, 7.909446460110001, 7.57017969844, 7.24288789643, 7.45409277327, 7.864401963180001, 8.193355165660002, 8.07023224125, 7.981154410299999, 7.72995131668, 7.90414387407, 7.71364803513, 7.697253057519999, 7.761030201510001]"
100,"[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0, 210.0, 220.0, 230.0, 240.0, 250.0, 260.0, 270.0, 280.0, 290.0, 300.0, 310.0, 320.0, 330.0, 340.0, 350.0, 360.0, 370.0, 380.0, 390.0, 400.0, 410.0, 420.0, 430.0, 440.0, 450.0, 460.0, 470.0, 480.0, 490.0, 500.0, 510.0, 520.0, 530.0, 540.0, 550.0, 560.0, 570.0, 580.0, 590.0, 600.0, 610.0, 620.0, 630.0, 640.0, 650.0, 660.0, 670.0, 680.0, 690.0, 700.0, 710.0, 720.0, 730.0, 740.0, 750.0, 760.0, 770.0, 780.0, 790.0, 800.0, 810.0, 820.0, 830.0, 840.0, 850.0, 860.0, 870.0, 880.0, 890.0, 900.0, 910.0, 920.0, 930.0, 940.0, 950.0, 960.0, 970.0, 980.0, 990.0, 1000.0, 1010.0, 1020.0, 1030.0, 1040.0, 1050.0, 1060.0, 1070.0, 1080.0, 1090.0, 1100.0, 1110.0, 1120.0, 1130.0, 1140.0, 1150.0, 1160.0, 1170.0, 1180.0, 1190.0, 1200.0, 1210.0, 1220.0, 1230.0, 1240.0, 1250.0, 1260.0, 1270.0, 1280.0, 1290.0, 1300.0, 1310.0, 1320.0, 1330.0, 1340.0, 1350.0, 1360.0, 1370.0, 1380.0, 1390.0, 1400.0, 1410.0, 1420.0, 1430.0, 1440.0, 1450.0, 1460.0, 1470.0, 1480.0, 1490.0, 1500.0, 1510.0, 1520.0, 1530.0, 1540.0, 1550.0, 1560.0, 1570.0, 1580.0, 1590.0, 1600.0, 1610.0, 1620.0, 1630.0, 1640.0, 1650.0, 1660.0, 1670.0, 1680.0, 1690.0, 1700.0, 1710.0, 1720.0, 1730.0, 1740.0, 1750.0, 1760.0, 1770.0, 1780.0]","[8.13399599767, 8.156223634689999, 8.18859832989, 8.24622753973, 8.311944871849999, 8.34173399579, 8.36141272993, 8.40983544496, 8.45496540138, 8.47124211984, 8.46903460802, 8.46479746546, 8.46557447623, 8.50660179268, 8.59120097761, 8.643114939610001, 8.63837184166, 8.64140795855, 8.673238742, 8.720120349610001, 8.78906124203, 8.818620467839999, 8.76963564212, 8.70665455525, 8.66373055945, 8.65690037785, 8.67137283544, 8.67024946361, 8.65458622912, 8.62531475523, 8.58859671203, 8.543641591030001, 8.53388310453, 8.54949899769, 8.54853232526, 8.532686660780001, 8.5149752726, 8.48407058362, 8.43105538896, 8.38132048119, 8.33205932964, 8.31581730791, 8.33598834208, 8.31734196209, 8.28688391601, 8.27282699823, 8.24770702375, 8.21907596748, 8.21134115396, 8.24016431575, 8.26433809653, 8.264988705730001, 8.22968427988, 8.18036148078, 8.15500746349, 8.12382621417, 8.060966704360002, 8.01993724511, 8.001325555760001, 7.95124165553, 7.909446460110001, 7.88112758617, 7.85057511643, 7.83352741407, 7.80880325032, 7.784903539119999, 7.763215159139999, 7.70664847765, 7.632956635730001, 7.57017969844, 7.530375259260001, 7.496024853130001, 7.443705947030001, 7.3774937406399985, 7.3427665926, 7.35065105847, 7.351334388860001, 7.31370881954, 7.25435989385, 7.24288789643, 7.27700231988, 7.285173643180001, 7.283784303110001, 7.3124215208, 7.35280684457, 7.35877754685, 7.327032528869999, 7.32340232388, 7.353785258049999, 7.3902714636199995, 7.45409277327, 7.52014110209, 7.5338386657399985, 7.538858940489999, 7.5668092137, 7.57399932212, 7.583627665800001, 7.634111573069999, 7.724111336619999, 7.864401963180001, 7.959192117280001, 7.98867003478, 8.01615022234, 8.049628366830001, 8.08083923873, 8.09590295411, 8.11481243785, 8.12734593745, 8.14486202536, 8.170481601989998, 8.193355165660002, 8.19894177896, 8.19219217207, 8.19251537574, 8.18190543316, 8.16904360143, 8.16238134483, 8.13223871974, 8.09217935827, 8.07023224125, 8.061902951799999, 8.06703943999, 8.07441273972, 8.077095432410001, 8.079070257669999, 8.05520394625, 8.02583757273, 8.01135924872, 7.981154410299999, 7.940834956160001, 7.89631485334, 7.843377445830001, 7.80953670238, 7.79593617638, 7.78096947462, 7.75866721908, 7.734507934360001, 7.731820443739999, 7.72995131668, 7.7020232688800006, 7.692810698760001, 7.7281380431699995, 7.768465238130001, 7.798685941839999, 7.83610305514, 7.8534071041799995, 7.840652269460001, 7.870935295619999, 7.90414387407, 7.90406601715, 7.8898815372, 7.87132296727, 7.85703230991, 7.8142433033100005, 7.769725806860001, 7.756556104260001, 7.73440631511, 7.703066842130001, 7.71364803513, 7.720799002330001, 7.71213627197, 7.70879053678, 7.695214160060001, 7.717367689289999, 7.74135741153, 7.70648186775, 7.66749397636, 7.677989813330001, 7.697253057519999, 7.69651561594, 7.713665160950001, 7.744070340739999, 7.742504917969999, 7.736938565860001, 7.74574715651, 7.7051016185300005, 7.689902471769999, 7.7344937602899995, 7.761030201510001]"
