NumPoints,Locations,Velocities
3,"[320.0, 700.0, 1080.0]","[8.235584627989999, 7.4627752449699996, 7.98605390256]"
9,"[0.0, 170.0, 320.0, 520.0, 700.0, 870.0, 1080.0, 1220.0, 1400.0]","[8.78985643672, 8.48786405734, 8.235584627989999, 7.4519668108, 7.4627752449699996, 8.13450033643, 7.98605390256, 7.77295456415, 7.7135982682]"
19,"[0.0, 80.0, 160.0, 230.0, 320.0, 390.0, 470.0, 540.0, 620.0, 700.0, 780.0, 860.0, 930.0, 1010.0, 1080.0, 1170.0, 1240.0, 1320.0, 1400.0]","[8.78985643672, 8.656933488060002, 8.518529098130001, 8.32177142821, 8.235584627989999, 7.9578724986600005, 7.71446087783, 7.35079597994, 7.291989454489999, 7.4627752449699996, 7.73280364625, 8.121989306089999, 8.19918127344, 8.07322090421, 7.98605390256, 7.73636669303, 7.84008225786, 7.8591541864100005, 7.7135982682]"
100,"[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0, 210.0, 220.0, 230.0, 240.0, 250.0, 260.0, 270.0, 280.0, 290.0, 300.0, 310.0, 320.0, 330.0, 340.0, 350.0, 360.0, 370.0, 380.0, 390.0, 400.0, 410.0, 420.0, 430.0, 440.0, 450.0, 460.0, 470.0, 480.0, 490.0, 500.0, 510.0, 520.0, 530.0, 540.0, 550.0, 560.0, 570.0, 580.0, 590.0, 600.0, 610.0, 620.0, 630.0, 640.0, 650.0, 660.0, 670.0, 680.0, 690.0, 700.0, 710.0, 720.0, 730.0, 740.0, 750.0, 760.0, 770.0, 780.0, 790.0, 800.0, 810.0, 820.0, 830.0, 840.0, 850.0, 860.0, 870.0, 880.0, 890.0, 900.0, 910.0, 920.0, 930.0, 940.0, 950.0, 960.0, 970.0, 980.0, 990.0, 1000.0, 1010.0, 1020.0, 1030.0, 1040.0, 1050.0, 1060.0, 1070.0, 1080.0, 1090.0, 1100.0, 1110.0, 1120.0, 1130.0, 1140.0, 1150.0, 1160.0, 1170.0, 1180.0, 1190.0, 1200.0, 1210.0, 1220.0, 1230.0, 1240.0, 1250.0, 1260.0, 1270.0, 1280.0, 1290.0, 1300.0, 1310.0, 1320.0, 1330.0, 1340.0, 1350.0, 1360.0, 1370.0, 1380.0, 1390.0, 1400.0]","[8.78985643672, 8.82005312412, 8.77184566012, 8.709094489239998, 8.66599227784, 8.65878930493, 8.67327561203, 8.672475769439998, 8.656933488060002, 8.6278358264, 8.591527203250001, 8.546539972949999, 8.536630382050001, 8.55244661887, 8.55169832523, 8.536035735650001, 8.518529098130001, 8.48786405734, 8.4352079754, 8.385962610730001, 8.33667075844, 8.319925937919999, 8.340103526939998, 8.32177142821, 8.291448101439999, 8.27774518023, 8.25279578738, 8.22400156131, 8.21600597152, 8.24472205189, 8.26908805035, 8.27027631777, 8.235584627989999, 8.18621281377, 8.16089748607, 8.13018317999, 8.067382201000001, 8.02629352624, 8.00786803928, 7.9578724986600005, 7.916000464060001, 7.887989508260001, 7.857676602000001, 7.840576017010001, 7.8161333306300005, 7.7922279867999995, 7.770564016760001, 7.71446087783, 7.641037174560001, 7.5783350809800005, 7.53845202622, 7.50407293827, 7.4519668108, 7.3858259071, 7.35079597994, 7.358439006869999, 7.359366297669999, 7.322191844389999, 7.26310324947, 7.251613117889999, 7.28550877151, 7.29344441472, 7.291989454489999, 7.320732034289999, 7.361451063210001, 7.3675650163199995, 7.33578947163, 7.332140152180001, 7.36248756882, 7.399160940689999, 7.4627752449699996, 7.528255805539999, 7.5418718802899996, 7.547064980689999, 7.574877676210001, 7.5820294624699995, 7.5918879298199995, 7.64263642142, 7.73280364625, 7.872884643660001, 7.96741122641, 7.996950063300001, 8.024462343460002, 8.05757997524, 8.088396567939999, 8.103259790980001, 8.121989306089999, 8.13450033643, 8.152184424369999, 8.17783175028, 8.20039143494, 8.205654790239999, 8.19893839291, 8.19918127344, 8.18830753887, 8.17535677521, 8.1685192537, 8.13816672294, 8.098229824319999, 8.07638568376, 8.068113766, 8.07322090421, 8.08035457877, 8.082872084129999, 8.08468760587, 8.060598113500001, 8.03107754185, 8.01641158395, 7.98605390256, 7.94553343714, 7.90065295965, 7.847986209389999, 7.81435015776, 7.8005567749399995, 7.785580511239999, 7.763183286880001, 7.73900636292, 7.73636669303, 7.73436465354, 7.70629256485, 7.6972675011, 7.73274249579, 7.77295456415, 7.80303454623, 7.84008225786, 7.856931128439999, 7.84425721021, 7.87470810678, 7.907464241919999, 7.906877912010001, 7.8923515239699995, 7.87355550766, 7.8591541864100005, 7.81627568995, 7.77180323339, 7.75861009877, 7.73627072986, 7.705040471339999, 7.71571840213, 7.72249927997, 7.7135982682]"
