NumPoints,Locations,Velocities
3,"[320.0, 700.0, 1080.0]","[8.230623076819999, 7.455348251639999, 7.98194922339]"
9,"[0.0, 170.0, 320.0, 520.0, 700.0, 870.0, 1080.0, 1220.0, 1400.0]","[8.789331131119999, 8.48464904773, 8.230623076819999, 7.444944909339999, 7.455348251639999, 8.12842977979, 7.98194922339, 7.769204855549999, 7.712537307230001]"
19,"[0.0, 80.0, 160.0, 230.0, 320.0, 390.0, 470.0, 540.0, 620.0, 700.0, 780.0, 860.0, 930.0, 1010.0, 1080.0, 1170.0, 1240.0, 1320.0, 1400.0]","[8.789331131119999, 8.65503500466, 8.51557986715, 8.31809088152, 8.230623076819999, 7.95225572874, 7.7077948873, 7.34394254288, 7.2849629922000005, 7.455348251639999, 7.72539952403, 8.115885709039999, 8.19349300773, 8.067988480639999, 7.98194922339, 7.732518891160001, 7.8367406196200005, 7.85747818518, 7.712537307230001]"
100,"[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0, 210.0, 220.0, 230.0, 240.0, 250.0, 260.0, 270.0, 280.0, 290.0, 300.0, 310.0, 320.0, 330.0, 340.0, 350.0, 360.0, 370.0, 380.0, 390.0, 400.0, 410.0, 420.0, 430.0, 440.0, 450.0, 460.0, 470.0, 480.0, 490.0, 500.0, 510.0, 520.0, 530.0, 540.0, 550.0, 560.0, 570.0, 580.0, 590.0, 600.0, 610.0, 620.0, 630.0, 640.0, 650.0, 660.0, 670.0, 680.0, 690.0, 700.0, 710.0, 720.0, 730.0, 740.0, 750.0, 760.0, 770.0, 780.0, 790.0, 800.0, 810.0, 820.0, 830.0, 840.0, 850.0, 860.0, 870.0, 880.0, 890.0, 900.0, 910.0, 920.0, 930.0, 940.0, 950.0, 960.0, 970.0, 980.0, 990.0, 1000.0, 1010.0, 1020.0, 1030.0, 1040.0, 1050.0, 1060.0, 1070.0, 1080.0, 1090.0, 1100.0, 1110.0, 1120.0, 1130.0, 1140.0, 1150.0, 1160.0, 1170.0, 1180.0, 1190.0, 1200.0, 1210.0, 1220.0, 1230.0, 1240.0, 1250.0, 1260.0, 1270.0, 1280.0, 1290.0, 1300.0, 1310.0, 1320.0, 1330.0, 1340.0, 1350.0, 1360.0, 1370.0, 1380.0, 1390.0, 1400.0]","[8.789331131119999, 8.818932741360001, 8.77000277332, 8.70710462627, 8.66421816099, 8.65733154347, 8.671780262919999, 8.670678864760001, 8.65503500466, 8.62580131298, 8.58917564742, 8.544216106939999, 8.53444298545, 8.550107016, 8.54915558377, 8.533328004860001, 8.51557986715, 8.48464904773, 8.431716789089998, 8.38208641523, 8.33283801829, 8.316531141439999, 8.336702421410001, 8.31809088152, 8.28763863971, 8.27367046655, 8.24853951016, 8.21977348068, 8.21197795136, 8.24082730603, 8.265085504239998, 8.265858955319999, 8.230623076819999, 8.18123616554, 8.155856481799999, 8.12478568275, 8.062015659110001, 8.02098516591, 8.00233349334, 7.95225572874, 7.910469905989999, 7.882161910960001, 7.8516233375999995, 7.834566314489999, 7.809883760960001, 7.7859759776, 7.7643007616299995, 7.7077948873, 7.63412410207, 7.57137078209, 7.53156735673, 7.497229551289999, 7.444944909339999, 7.37872669151, 7.34394254288, 7.351799854019999, 7.352541056869999, 7.31497421418, 7.25562761222, 7.24415671021, 7.27821706075, 7.286347097799999, 7.2849629922000005, 7.31355720012, 7.35403251488, 7.3600933497100005, 7.32828920612, 7.32470184516, 7.35516225923, 7.39161248514, 7.455348251639999, 7.5213244566999995, 7.53505106375, 7.54010284222, 7.5680207699199995, 7.57514049373, 7.58469774101, 7.635257858689999, 7.72539952403, 7.86568028952, 7.960376836930001, 7.9898595422000005, 8.01736993217, 8.050773432769999, 8.081924656089999, 8.09699160709, 8.115885709039999, 8.12842977979, 8.14596224589, 8.171560949349999, 8.194381609419999, 8.19991948273, 8.19317488751, 8.19349300773, 8.18287883957, 8.1700215028, 8.16332614802, 8.13315149886, 8.0931391284, 8.07121740254, 8.06285344072, 8.067988480639999, 8.07537818875, 8.07803656498, 8.07995002299, 8.056029405910001, 8.02665056631, 8.01214369256, 7.98194922339, 7.941608160739999, 7.89700095738, 7.844090103969999, 7.810254684330001, 7.79661552115, 7.7816141034, 7.759269128630001, 7.735138418919999, 7.732518891160001, 7.73068776182, 7.70274921411, 7.6934914473800005, 7.728828531810001, 7.769204855549999, 7.79941524146, 7.8367406196200005, 7.85396717146, 7.84127953487, 7.871600399189999, 7.904699654349999, 7.904575563330001, 7.89036962646, 7.87176079994, 7.85747818518, 7.814709900660001, 7.770205815660001, 7.757024866389999, 7.73485628353, 7.70353130989, 7.714119999510001, 7.72122974347, 7.712537307230001]"
