NumPoints,Locations,Velocities
3,"[320.0, 700.0, 1080.0]","[8.22984442738, 7.4543023563, 7.98128160648]"
9,"[0.0, 170.0, 320.0, 520.0, 700.0, 870.0, 1080.0, 1220.0, 1400.0]","[8.789107409, 8.484170567849999, 8.22984442738, 7.44389468142, 7.4543023563, 8.12752510286, 7.98128160648, 7.768612684960001, 7.712242236130001]"
19,"[0.0, 80.0, 160.0, 230.0, 320.0, 390.0, 470.0, 540.0, 620.0, 700.0, 780.0, 860.0, 930.0, 1010.0, 1080.0, 1170.0, 1240.0, 1320.0, 1400.0]","[8.789107409, 8.6546388634, 8.51509877022, 8.31746934423, 8.22984442738, 7.9514181683, 7.706866218080001, 7.34297274901, 7.283967731919999, 7.4543023563, 7.72433818648, 8.11500059424, 8.19267104235, 8.06720220822, 7.98128160648, 7.73197317892, 7.836234505349999, 7.857130526930001, 7.712242236130001]"
100,"[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0, 210.0, 220.0, 230.0, 240.0, 250.0, 260.0, 270.0, 280.0, 290.0, 300.0, 310.0, 320.0, 330.0, 340.0, 350.0, 360.0, 370.0, 380.0, 390.0, 400.0, 410.0, 420.0, 430.0, 440.0, 450.0, 460.0, 470.0, 480.0, 490.0, 500.0, 510.0, 520.0, 530.0, 540.0, 550.0, 560.0, 570.0, 580.0, 590.0, 600.0, 610.0, 620.0, 630.0, 640.0, 650.0, 660.0, 670.0, 680.0, 690.0, 700.0, 710.0, 720.0, 730.0, 740.0, 750.0, 760.0, 770.0, 780.0, 790.0, 800.0, 810.0, 820.0, 830.0, 840.0, 850.0, 860.0, 870.0, 880.0, 890.0, 900.0, 910.0, 920.0, 930.0, 940.0, 950.0, 960.0, 970.0, 980.0, 990.0, 1000.0, 1010.0, 1020.0, 1030.0, 1040.0, 1050.0, 1060.0, 1070.0, 1080.0, 1090.0, 1100.0, 1110.0, 1120.0, 1130.0, 1140.0, 1150.0, 1160.0, 1170.0, 1180.0, 1190.0, 1200.0, 1210.0, 1220.0, 1230.0, 1240.0, 1250.0, 1260.0, 1270.0, 1280.0, 1290.0, 1300.0, 1310.0, 1320.0, 1330.0, 1340.0, 1350.0, 1360.0, 1370.0, 1380.0, 1390.0, 1400.0]","[8.789107409, 8.818633936849999, 8.76962417437, 8.7067032062, 8.66388393743, 8.65705559869, 8.67145677287, 8.67027737073, 8.6546388634, 8.625391041739999, 8.58869414966, 8.543741729219999, 8.53396208648, 8.54958768364, 8.5486403474, 8.53281574827, 8.51509877022, 8.484170567849999, 8.431152732989998, 8.38144458925, 8.33221354318, 8.31596091394, 8.336120338719999, 8.31746934423, 8.28699937883, 8.2729511837, 8.24784600404, 8.21920690115, 8.21145674119, 8.240287840639999, 8.264480857939999, 8.26515251399, 8.22984442738, 8.18050727368, 8.15515998015, 8.12399225857, 8.06113582009, 8.020110144310001, 8.0015050738, 7.9514181683, 7.909615794369999, 7.881303019500001, 7.850763020930001, 7.83371711898, 7.80898454786, 7.785070216139999, 7.763407025529999, 7.706866218080001, 7.633164149060001, 7.57038528624, 7.5305783998699996, 7.49621660525, 7.44389468142, 7.377687817769999, 7.34297274901, 7.35086745022, 7.35156514352, 7.31393141898, 7.25455266796, 7.24307320062, 7.2771811905199995, 7.285354694489999, 7.283967731919999, 7.312602366649999, 7.353014364460001, 7.35900299641, 7.32724343531, 7.3236191676499995, 7.35402519252, 7.3905114973399995, 7.4543023563, 7.520322193139999, 7.53403197227, 7.539066387849999, 7.56700818546, 7.57419057508, 7.58381302197, 7.63431121734, 7.72433818648, 7.864608893119999, 7.95935933498, 7.98883183572, 8.016335096779999, 8.04982277396, 8.08102284812, 8.09608587026, 8.11500059424, 8.12752510286, 8.14502269124, 8.17065761465, 8.19355379663, 8.199116267010002, 8.192338519480002, 8.19267104235, 8.182078193330002, 8.16921740843, 8.16253611022, 8.13238482224, 8.09234185782, 8.07039099806, 8.062052148010002, 8.06720220822, 8.07458849539, 8.07725951331, 8.079206954360002, 8.05533003911, 8.025965351289999, 8.01148121822, 7.98128160648, 7.940964846719999, 7.89643939735, 7.843524394249999, 7.809684900439999, 7.796054657689999, 7.78107076748, 7.758765941980001, 7.734648995569999, 7.73197317892, 7.730070753300001, 7.702136829439999, 7.692928861, 7.728267718760001, 7.768612684960001, 7.79884299748, 7.836234505349999, 7.853502714239999, 7.840753693410001, 7.87102647952, 7.90419534435, 7.904111615060001, 7.88993147508, 7.87138536625, 7.857130526930001, 7.814365170630001, 7.76985436918, 7.756667877210001, 7.734505166669999, 7.703167253119999, 7.713745005519999, 7.720902050429999, 7.712242236130001]"
