NumPoints,Locations,Velocities
3,"[320.0, 700.0, 1080.0]","[8.229713146549999, 7.454117498039999, 7.98116671855]"
9,"[0.0, 170.0, 320.0, 520.0, 700.0, 870.0, 1080.0, 1220.0, 1400.0]","[8.789087548200001, 8.48407269335, 8.229713146549999, 7.44372591339, 7.454117498039999, 8.127401193110002, 7.98116671855, 7.768487789450001, 7.7121562282000005]"
19,"[0.0, 80.0, 160.0, 230.0, 320.0, 390.0, 470.0, 540.0, 620.0, 700.0, 780.0, 860.0, 930.0, 1010.0, 1080.0, 1170.0, 1240.0, 1320.0, 1400.0]","[8.789087548200001, 8.65462904329, 8.51500671203, 8.317372024900001, 8.229713146549999, 7.95126346105, 7.70669526463, 7.3427965007300005, 7.2838098788, 7.454117498039999, 7.72413605095, 8.11488544347, 8.192559424319999, 8.067075254019999, 7.98116671855, 7.731835693250001, 7.83612638053, 7.857026741789999, 7.7121562282000005]"
100,"[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0, 210.0, 220.0, 230.0, 240.0, 250.0, 260.0, 270.0, 280.0, 290.0, 300.0, 310.0, 320.0, 330.0, 340.0, 350.0, 360.0, 370.0, 380.0, 390.0, 400.0, 410.0, 420.0, 430.0, 440.0, 450.0, 460.0, 470.0, 480.0, 490.0, 500.0, 510.0, 520.0, 530.0, 540.0, 550.0, 560.0, 570.0, 580.0, 590.0, 600.0, 610.0, 620.0, 630.0, 640.0, 650.0, 660.0, 670.0, 680.0, 690.0, 700.0, 710.0, 720.0, 730.0, 740.0, 750.0, 760.0, 770.0, 780.0, 790.0, 800.0, 810.0, 820.0, 830.0, 840.0, 850.0, 860.0, 870.0, 880.0, 890.0, 900.0, 910.0, 920.0, 930.0, 940.0, 950.0, 960.0, 970.0, 980.0, 990.0, 1000.0, 1010.0, 1020.0, 1030.0, 1040.0, 1050.0, 1060.0, 1070.0, 1080.0, 1090.0, 1100.0, 1110.0, 1120.0, 1130.0, 1140.0, 1150.0, 1160.0, 1170.0, 1180.0, 1190.0, 1200.0, 1210.0, 1220.0, 1230.0, 1240.0, 1250.0, 1260.0, 1270.0, 1280.0, 1290.0, 1300.0, 1310.0, 1320.0, 1330.0, 1340.0, 1350.0, 1360.0, 1370.0, 1380.0, 1390.0, 1400.0]","[8.789087548200001, 8.818595139560001, 8.76958641916, 8.70664958323, 8.66381149228, 8.657009193510001, 8.67145006322, 8.670294104269999, 8.65462904329, 8.62532718311, 8.58858439423, 8.54368996908, 8.53395165385, 8.5495204909, 8.548563067949999, 8.532745998189998, 8.51500671203, 8.48407269335, 8.431054301369999, 8.3813115764, 8.33205406222, 8.31582384014, 8.336010506380001, 8.317372024900001, 8.28691537031, 8.272854646830002, 8.247730071569999, 8.21910506403, 8.21136801842, 8.24019380133, 8.26436976047, 8.26502100297, 8.229713146549999, 8.1803847829, 8.155034604489998, 8.123852628969999, 8.06099228782, 8.01996206322, 8.00134343015, 7.95126346105, 7.9094810106199995, 7.881169086860001, 7.850612352360001, 7.833548760419999, 7.8088224227, 7.784932073180001, 7.763259778989999, 7.70669526463, 7.632977058530001, 7.57018452008, 7.530386373010002, 7.496043842710001, 7.44372591339, 7.37752097959, 7.3427965007300005, 7.3506725675, 7.3513686946800005, 7.313751524410001, 7.25438414637, 7.242904391970001, 7.2770190281, 7.28519624967, 7.2838098788, 7.31244495865, 7.352836512710001, 7.35881178349, 7.3270684032, 7.32343811053, 7.353824082969999, 7.390308816419999, 7.454117498039999, 7.52015639406, 7.5338623652, 7.53888283421, 7.5668272866, 7.5740292161300005, 7.58366762501, 7.63414551994, 7.72413605095, 7.8644225490799995, 7.95921071227, 7.988701506810001, 8.01619112658, 8.04966048965, 8.08087191878, 8.09596624303, 8.11488544347, 8.127401193110002, 8.14491043224, 8.17053017241, 8.19341014982, 8.198989323960001, 8.19223577238, 8.192559424319999, 8.181942612310001, 8.16908113667, 8.16241401804, 8.13226955187, 8.09220772235, 8.07025401546, 8.061938398239999, 8.067075254019999, 8.07444043695, 8.07712440235, 8.07908736026, 8.05521132507, 8.02584965937, 8.011372151960002, 7.98116671855, 7.94085752847, 7.896338948060001, 7.84340454688, 7.80956603489, 7.795951794880001, 7.780978993080001, 7.758679790710001, 7.7345315038999995, 7.731835693250001, 7.7299646079499995, 7.702047278589999, 7.6928334519, 7.728169778510001, 7.768487789450001, 7.79870618888, 7.83612638053, 7.85340785458, 7.84065083273, 7.8709337392, 7.90412225001, 7.904057162180001, 7.889889503139999, 7.871326455660001, 7.857026741789999, 7.8142350274800005, 7.769730971939999, 7.756576076739999, 7.73445876898, 7.703125646769999, 7.713694564480001, 7.72083932853, 7.7121562282000005]"
